ID RENABAP,Provincia,Municipio,Barrio,Localidad,Tipo de UE,Tipo de Proyecto,Nombre de Proyecto,Financiamiento,Estado,Monto Total,Acta de Inicio Real,% Avance físico
"3728/3729/3753/3730/3745/4466/4929/4930/4931/4932
",Río Negro,El Bolsón,"Alma Fuerte/Los Ñires/El Renoval/Amancay/La Lagunita/Laguna de los Juncos/Cipresal/Valle del Lindo/Braulio Cárdenas/Buena Vista
",El Bolsón,Municipio,PEG,"ABASTECIMIENTO DE AGUA Y CONEXIONES DOMICILIARIAS, RED MT Y BT ELECTRICA, CONEXIONES DOMICILIARIAS DE RED ELECTRICA, AGRIMENSURA Y DESBOQUE (etapa 01)",FISU,En ejecución,"$3,479,412,385.78",7/12/2023,0.44%
5241/5242,Corrientes,Monte Caseros,Fedullo/La Rana,Monte Caseros,OSC,PEG,Obras de Integración Socio Urbana,FISU,En ejecución,"$2,293,582,660.77",15/5/2023,30.11%
1947,Misiones,Garupá,Santa Clara 3,Garupá,OSC,POT,"OBRAS DE CONEXIONES E INSTALACIONES INTRA LOTE DE AGUA, ELECTRICIDAD, RED PEATONAL Y NÚCLEOS HÚMEDOS",FISU,Terminado,"$411,525,220.01",18/7/2023,100.00%
1323,Buenos Aires,Morón,Presidente Ibáñez,Morón,OSC,POT,conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$334,240,203.14",31/7/2023,34.52%
1157,Buenos Aires,Lomas de Zamora,Dos de Mayo,Villa Fiorito,OSC,POT,Obras de playón polideportivo cubierto - ETAPA 2,FISU,En ejecución,"$117,342,589.01",10/11/2023,35.00%
2465,Neuquén,Plottier,Gran Plottier,Plottier,OSC,POT,conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$186,105,155.07",7/12/2023,20.08%
5890,Santa Fe,Santa Fe,Los Espinillos,San José Del Rincón,OSC,POT,"Obras de conexiones e instalaciones intra lote de electricidad, red peatonal, equipamiento urbano y espacio recreativo",FISU,En ejecución,"$441,935,315.48",27/7/2023,79.81%
1462,Buenos Aires,Lanús,Ilasa,Valentín Alsina,OSC,POT,"conexiones e instalaciones intra lote de electricidad, red peatonal y
equipamiento urbano",FISU,En ejecución,"$280,631,071.78",7/8/2023,64.56%
4465,Buenos Aires,La Plata,La Granja,San Carlos,OSC,POT,Obras de integración socio urbana,FISU,En ejecución,"$179,657,951.61",13/11/2023,15.54%
1135,Buenos Aires,Quilmes,La Matera,Quilmes Oeste,OSC,POT,Conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$166,462,581.50",31/7/2023,20.34%
5439,Jujuy,Palpalá,10 Hectáreas,Palpala,OSC,POT,"conexiones e instalaciones intra lote de electricidad, Red peatonal
y arbolado público",FISU,En ejecución,"$151,123,868.06",24/7/2023,20.73%
2,Buenos Aires,La Plata,Malvinas II,José Melchor Romero,OSC,POT," conexiones e instalaciones intra lote de
electricidad, red peatonal , arbolado público y euqipamiento urbano",FISU,En ejecución,"$344,186,475.16",3/8/2023,67.59%
2603,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,La Carbonilla,La Partenal,OSC,POT,conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$224,406,959.00",21/6/2023,60.01%
388,Buenos Aires,General San Martín,La Rana,San Andrés,OSC,POT,Conexiones Intra lote de electricidad,FISU,En ejecución,"$189,881,976.16",27/5/2023,65.89%
2581,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Los Piletones,Villa Soldati,OSC,POT,Conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$214,385,855.58",29/5/2023,67.94%
3452,Mendoza,San Martín,Nestor Kirchner,Palmira,OSC,POT,"conexiones e instalaciones intra
lote de electricidad, red peatonal,
arbolado público y equipamiento urbano",FISU,En ejecución,"$401,858,696.17",27/7/2023,60.00%
1756,Santa Fe,Rosario,Villa Banana,Santa Fe,OSC,POT,"Conexiones e instalaciones intra lote de electricidad, red peatonal y arbolado público",FISU,En ejecución,"$170,372,382.36",31/7/2023,60.27%
619/1257,Buenos Aires,La Matanza,Villa Madero/Lucero,Ciudad Madero,Municipio,PEG,Obra de Integración Socio Urbana,FISU,En ejecución,"$961,048,520.19",17/10/2023,17.44%
4942/4941,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,El Pescadito/Zanchetti,La Boca,OSC,POT,"Obras de conexiones e instalaciones
intra lote de electricidad",FISU,Terminado,"$45,921,145.28",19/5/2023,100.00%
551/5390,Buenos Aires,Quilmes,San Ignacio/El Progreso,Bernal Oeste,OSC,POT,"Red Peatonal, arbolado público y equipamiento urbano",FISU,En ejecución,"$140,988,928.45",30/12/2023,12.84%
5609/5610,Misiones,Puerto Rico,Eucaliptal/Cantera,Puerto Rico,OSC,POT,Centro Verde,FISU,En ejecución,"$1,000,132,429.61",17/8/2023,83.14%
540,Buenos Aires,La Matanza,Arroyo Las Víboras,La Matanza,OSC,POT,Equipamiento educativo.,FISU,En ejecución,"$181,366,825.84",13/9/2023,38.04%
1621,Córdoba,Córdoba Capital,Anexo Pueyrredón,Córdoba Capital,OSC,POT,Obras de conexiones e instalaciones intra lote de agua y electricidad.,FISU,En ejecución,"$162,185,538.62",22/12/2023,20.04%
